City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Saint-Francois,FR,46.4154,3.9054,50.0,46,0,1.14,clear sky
198,Nemuro,JP,43.3236,145.575,39.83,81,100,15.77,overcast clouds
199,Pampas,PE,-12.4,-74.9,55.04,76,60,3.31,broken clouds
200,Narsaq,GL,60.9167,-46.05,46.4,49,1,8.05,clear sky
201,Denpasar,ID,-8.65,115.2167,77.0,83,20,3.44,few clouds
202,Gawler,AU,-34.6,138.7333,54.0,91,72,2.06,broken clouds
203,Americus,US,32.0724,-84.2327,73.4,23,90,4.61,overcast clouds
204,Cave Spring,US,37.2276,-80.0128,64.0,25,75,6.91,broken clouds
205,Vardo,NO,70.3705,31.1107,33.8,69,40,11.5,scattered clouds
206,Lorengau,PG,-2.0226,147.2712,79.83,78,94,3.4,overcast clouds
207,Llangefni,GB,53.2556,-4.3106,53.01,50,100,5.75,overcast clouds
208,Anaconda,US,46.1285,-112.9423,41.0,65,90,3.44,overcast clouds
209,Wellington,NZ,-41.2866,174.7756,62.6,77,13,8.05,few clouds
210,Taltal,CL,-25.4,-70.4833,63.88,76,11,5.64,few clouds
211,Namatanai,PG,-3.6667,152.4333,78.22,84,100,3.91,overcast clouds
212,Pangnirtung,CA,66.1451,-65.7125,24.8,93,75,2.3,broken clouds
213,Burnie,AU,-41.0667,145.9167,48.99,96,89,4.0,overcast clouds
214,Ostrovnoy,RU,68.0531,39.5131,32.49,93,100,19.24,light snow
215,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,65,0,9.22,clear sky
216,Puerto Leguizamo,CO,-0.1934,-74.7819,78.76,93,64,2.21,broken clouds
217,Nuuk,GL,64.1835,-51.7216,32.0,86,90,4.61,overcast clouds
218,Thaton,MM,16.9206,97.3714,80.55,80,99,1.34,overcast clouds
219,Avera,US,33.194,-82.5271,71.6,24,1,9.22,clear sky
220,Sabha,LY,27.0377,14.4283,84.42,12,59,5.28,broken clouds
221,Cherskiy,RU,68.75,161.3,22.15,94,100,5.95,snow
222,Oriximina,BR,-1.7656,-55.8661,77.27,90,92,3.8,overcast clouds
223,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,62,75,11.5,broken clouds
224,Nipawin,CA,53.3668,-104.0009,37.4,30,75,11.5,broken clouds
225,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,9.22,light rain
226,Grand Gaube,MU,-20.0064,57.6608,79.0,78,99,7.0,light rain
227,Gizo,SB,-8.103,156.8419,82.81,73,95,8.79,overcast clouds
228,College,US,64.8569,-147.8028,55.4,30,20,8.05,few clouds
229,Honiara,SB,-9.4333,159.95,82.11,78,60,2.26,broken clouds
