City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Ribeira Grande,PT,2021-04-21 03:50:07,38.5167,-28.7,62.28,91,100,15.37
136,Nambucca Heads,AU,2021-04-21 03:50:08,-30.65,153.0,77.0,33,0,8.05
137,Ayodhya,IN,2021-04-21 03:50:08,26.8,82.2,90.79,20,100,17.27
138,Ambilobe,MG,2021-04-21 03:50:09,-13.2,49.05,73.38,92,100,4.29
139,Canon City,US,2021-04-21 03:48:29,38.441,-105.2424,35.6,69,90,5.75
140,Thompson,CA,2021-04-21 03:50:09,55.7435,-97.8558,26.6,86,40,3.44
141,Yanam,IN,2021-04-21 03:50:10,16.7333,82.2167,89.6,66,40,6.91
142,Teguise,ES,2021-04-21 03:48:06,29.0605,-13.564,64.4,77,0,8.05
143,Narsaq,GL,2021-04-21 03:50:10,60.9167,-46.05,35.6,64,90,1.14
144,Archidona,ES,2021-04-21 03:50:11,37.0965,-4.3887,62.01,72,67,5.01
145,Lusambo,CD,2021-04-21 03:50:11,-4.9667,23.45,68.11,98,100,1.81
146,Ketchikan,US,2021-04-21 03:50:12,55.3422,-131.6461,57.2,51,1,5.75
147,Fortuna,US,2021-04-21 03:50:12,40.5982,-124.1573,50.0,93,90,9.22
148,Shakawe,BW,2021-04-21 03:50:12,-18.3667,21.85,54.7,44,0,5.68
149,Buriti Alegre,BR,2021-04-21 03:50:13,-18.14,-49.0403,60.96,65,0,2.37
150,Castro,BR,2021-04-21 03:50:13,-24.7911,-50.0119,52.52,99,25,4.45
151,Avarua,CK,2021-04-21 03:48:08,-21.2078,-159.775,75.2,88,75,14.97
152,Ilulissat,GL,2021-04-21 03:50:14,69.2167,-51.1,15.8,48,9,2.3
153,Nome,US,2021-04-21 03:50:15,64.5011,-165.4064,37.4,60,1,3.44
154,Saint-Augustin,CA,2021-04-21 03:50:15,51.226,-58.6502,36.43,80,99,6.64
155,Leningradskiy,RU,2021-04-21 03:50:15,69.3833,178.4167,36.34,74,53,6.58
156,Emirdag,TR,2021-04-21 03:50:16,39.0197,31.15,43.9,75,58,1.19
157,Severo-Yeniseyskiy,RU,2021-04-21 03:50:16,60.3725,93.0408,23.47,87,100,4.97
158,Takoradi,GH,2021-04-21 03:50:17,4.8845,-1.7554,79.81,82,99,5.93
159,Port Lincoln,AU,2021-04-21 03:50:17,-34.7333,135.8667,61.05,49,74,12.28
160,Longyearbyen,SJ,2021-04-21 03:50:17,78.2186,15.6401,23.0,68,20,11.5
161,El Porvenir,HN,2021-04-21 03:50:18,13.7617,-87.3458,68.0,100,90,1.61
162,Rio Grande,BR,2021-04-21 03:50:18,-32.035,-52.0986,68.0,80,0,3.0
163,Koutsouras,GR,2021-04-21 03:50:19,35.0339,25.9469,56.91,72,2,4.76
164,Barrow,US,2021-04-21 03:48:15,71.2906,-156.7887,19.4,79,20,10.36
165,Tazovskiy,RU,2021-04-21 03:50:19,67.4667,78.7,10.13,91,100,7.83
166,Rathdrum,US,2021-04-21 03:50:20,47.8137,-116.892,43.0,71,3,3.33
167,Araceli,PH,2021-04-21 03:50:20,10.5529,119.9913,85.14,70,100,10.51
168,Klaksvik,FO,2021-04-21 03:50:21,62.2266,-6.589,33.8,80,40,13.89
169,Taywarah,AF,2021-04-21 03:50:21,33.35,64.4167,45.0,42,79,4.65
170,Sao Domingos,BR,2021-04-21 03:50:21,-13.3983,-46.3183,68.14,90,87,0.92
171,Namatanai,PG,2021-04-21 03:50:22,-3.6667,152.4333,83.7,75,87,11.03
172,Laguna,US,2021-04-21 03:50:22,38.421,-121.4238,62.6,55,75,5.75
173,Lermontovka,RU,2021-04-21 03:50:23,47.1453,134.3383,63.77,17,0,9.86
174,Cody,US,2021-04-21 03:48:22,44.5263,-109.0565,30.2,55,90,5.75
175,Macomer,IT,2021-04-21 03:50:24,40.262,8.7699,50.0,93,0,3.44
176,Emerald,AU,2021-04-21 03:50:24,-23.5333,148.1667,88.0,45,90,5.75
177,Saint George,US,2021-04-21 03:50:24,37.1041,-113.5841,73.0,13,1,3.44
